eventId,eventName,course,tour,season,startDate,endDate,purse,winner,lastSynced
124,The Bahamas Great Exuma Classic (now The Bahamas Golf Classic),Sandals Emerald Bay Golf Club,kft,2024,2024-01-14,2025-12-27,,,2025-12-27
125,The Bahamas Great Abaco Classic,The Abaco Club on Winding Bay,kft,2024,2024-01-21,2025-12-27,,,2025-12-27
84,The Panama Championship,Club de Golf de Panama,kft,2024,2024-02-01,2025-12-27,,,2025-12-27
104,Astara Golf Championship,Country Club de Bogota-Lagos;Country Club de Bogota-Pacos,kft,2024,2024-02-08,2025-12-27,,,2025-12-27
170,117 Visa Argentina Open (now 118 Visa Argentina Open),Olivos Golf Club,kft,2024,2024-02-29,2025-12-27,,,2025-12-27
107,Astara Chile Classic,Prince of Wales Country Club,kft,2024,2024-03-07,2025-12-27,,,2025-12-27
128,Club Car Championship,The Landings Golf & Athletic Club,kft,2024,2024-04-04,2025-12-27,,,2025-12-27
129,LECOM Suncoast Classic,Lakewood National Golf Club-Commander Course,kft,2024,2024-04-18,2025-12-27,,,2025-12-27
137,Veritex Bank Championship,Texas Rangers Golf Club,kft,2024,2024-04-25,2025-12-27,,,2025-12-27
100,AdventHealth Championship,Blue Hills Country Club,kft,2024,2024-05-16,2025-12-27,,,2025-12-27
11,Visit Knoxville Open,Holston Hills Country Club,kft,2024,2024-05-23,2025-12-27,,,2025-12-27
48,UNC Health Championship,Raleigh Country Club,kft,2024,2024-05-30,2025-12-27,,,2025-12-27
37,BMW Charity Pro-Am Presented by TD SYNNEX,Thornblade Club;Carolina Country Club,kft,2024,2024-06-06,2025-12-27,,,2025-12-27
23,Blue Cross and Blue Shield of Kansas Wichita Open,Crestview Country Club,kft,2024,2024-06-13,2025-12-27,,,2025-12-27
166,Compliance Solutions Championship,Jimmie Austin OU Golf Club,kft,2024,2024-06-20,2025-12-27,,,2025-12-27
122,Memorial Health Championship,Panther Creek Country Club,kft,2024,2024-06-27,2025-12-27,,,2025-12-27
130,The Ascendant,TPC Colorado,kft,2024,2024-07-11,2025-12-27,,,2025-12-27
22,Price Cutter Charity Championship,Highland Springs Country Club,kft,2024,2024-07-18,2025-12-27,,,2025-12-27
131,NV5 Invitational,The Glen Club,kft,2024,2024-07-25,2025-12-27,,,2025-12-27
26,Utah Championship,Oakridge Country Club,kft,2024,2024-08-01,2025-12-27,,,2025-12-27
123,Pinnacle Bank Championship,The Club at Indian Creek,kft,2024,2024-08-08,2025-12-27,,,2025-12-27
168,Magnit Championship,Metedeconk National Golf Club,kft,2024,2024-08-15,2025-12-27,,,2025-12-27
27,Albertsons Boise Open,Hillcrest Country Club,kft,2024,2024-08-22,2025-12-27,,,2025-12-27
120,Simmons Bank Open for the Snedeker Foundation,Vanderbilt Legends Club North Course,kft,2024,2024-09-12,2025-12-27,,,2025-12-27
94,Nationwide Children's Hospital Championship,Ohio State University Golf Club - Scarlet Course,kft,2024,2024-09-19,2025-12-27,,,2025-12-27
45,Korn Ferry Tour Championship,French Lick Golf Resort - Pete Dye Course,kft,2024,2024-10-03,2025-12-27,,,2025-12-27
124,The Bahamas Golf Classic,The Ocean Club Golf Course at Atlantis,kft,2025,2025-01-12,2025-12-27,,,2025-12-27
125,The Bahamas Great Abaco Classic,The Abaco Club on Winding Bay,kft,2025,2025-01-19,2025-12-27,,,2025-12-27
84,The Panama Championship,Club de Golf de Panama,kft,2025,2025-01-30,2025-12-27,,,2025-12-27
104,Astara Golf Championship,Country Club de Bogota-Lagos;Country Club de Bogota-Pacos,kft,2025,2025-02-06,2025-12-27,,,2025-12-27
170,118 Visa Argentina Open,Jockey Club,kft,2025,2025-02-27,2025-12-27,,,2025-12-27
107,Astara Chile Classic,Prince of Wales Country Club,kft,2025,2025-03-06,2025-12-27,,,2025-12-27
128,Club Car Championship,The Landings Golf & Athletic Club,kft,2025,2025-04-03,2025-12-27,,,2025-12-27
129,LECOM Suncoast Classic,Lakewood National Golf Club,kft,2025,2025-04-16,2025-12-27,,,2025-12-27
137,Veritex Bank Championship,Texas Rangers Golf Club,kft,2025,2025-04-24,2025-12-27,,,2025-12-27
171,Tulum Championship,PGA Riviera Maya,kft,2025,2025-05-01,2025-12-27,,,2025-12-27
100,AdventHealth Championship,Blue Hills Country Club,kft,2025,2025-05-15,2025-12-27,,,2025-12-27
11,Visit Knoxville Open,Holston Hills Country Club,kft,2025,2025-05-22,2025-12-27,,,2025-12-27
48,UNC Health Championship,Raleigh Country Club,kft,2025,2025-05-29,2025-12-27,,,2025-12-27
37,BMW Charity Pro-Am Presented by TD SYNNEX,Thornblade Club;Carolina Country Club,kft,2025,2025-06-05,2025-12-27,,,2025-12-27
